study,QA1_aims,QA2_mechanism_defined,QA3_ablation,QA4_repro,QA5_faithfulness,QA6_correction,QA7_family_scope,QA8_threats
Discrete Diffusion for Reflective Vision-Language-Action Models in Autonomous Driving,1,1,1,1,0,1,0.5,0.5
Text-guided multi-property molecular optimization with a diffusion language model,1,1,0.5,1,0,1,0,0.5
Free Lunch for Pass@$k$? Low Cost Diverse Sampling for Diffusion Language Models,1,1,0.5,1,0,0,0,0.5
ScDiVa: Masked Discrete Diffusion for Joint Modeling of Single-Cell Identity and Expression,1,1,0.5,1,0,1,1,0.5
Implicit Search via Discrete Diffusion: A Study on Chess,1,1,1,1,0,0,0.5,0.5
Beyond Single Tokens: Distilling Discrete Diffusion Models via Discrete MMD,1,1,0.5,1,0,0,0.5,0.5
Top 10 Open Challenges Steering the Future of Diffusion Language Model and Its Variants,1,1,0.5,0.5,0,1,0,0.5
Muddit: Liberating Generation Beyond Text-to-Image with a Unified Discrete Diffusion Model,1,1,0.5,1,0,0,1,0.5
Test-Time Scaling with Diffusion Language Models via Reward-Guided Stitching,1,1,1,1,0,1,0.5,0.5
Planner and Executor: Collaboration between Discrete Diffusion And Autoregressive Models in Reasoning,1,1,0.5,0.5,0,0,0.5,0.5
Planner Aware Path Learning in Diffusion Language Models Training,1,1,0.5,1,0,0,0.5,0.5
Fine-Tuning Discrete Diffusion Models via Reward Optimization with Applications to DNA and Protein Design,1,1,0.5,0.5,0,0,0.5,0.5
DiffListener: Discrete Diffusion Model for Listener Generation,1,1,0.5,1,0,1,0.5,0.5
Debiasing Guidance for Discrete Diffusion with Sequential Monte Carlo,1,1,0.5,0.5,0,0,0.5,0.5
Fast Solvers for Discrete Diffusion Models: Theory and Applications of High-Order Algorithms,1,1,0.5,1,0,1,0.5,0.5
RA-ISF: Learning to Answer and Understand from Retrieval Augmentation via Iterative Self-Feedback,1,1,0.5,1,1,0,0,0.5
Diffusion LLMs Can Do Faster-Than-AR Inference via Discrete Diffusion Forcing,1,1,1,1,0,0,0.5,0.5
Improved Sampling Schedules for Discrete Diffusion Models,1,1,0.5,1,0,0,0.5,0.5
Masked Diffusion Language Models with Frequency-Informed Training,1,1,0.5,1,0,0,0.5,0.5
Attention Sinks in Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
Dimension-Free Convergence of Discrete Diffusion Models: Adjoint Equations Induce the Right Space,1,1,0.5,1,0,0,0.5,0.5
Global Context with Discrete Diffusion in Vector Quantised Modelling for Image Generation,1,1,1,1,0,0,0.5,0.5
E0: Enhancing Generalization and Fine-Grained Control in VLA Models via Tweedie Discrete Diffusion,1,1,1,1,0,0,1,0.5
Beyond Autoregression: Discrete Diffusion for Complex Reasoning and Planning,1,1,1,1,0,0,0.5,0.5
FS-DFM: Fast and Accurate Long Text Generation with Few-Step Diffusion Language Models,1,1,1,1,0,0,0.5,0.5
Machine Unlearning for Masked Diffusion Language Models,1,1,0.5,1,0,0,0.5,0.5
Conditional generation of antibody sequences with classifier-guided germline-absorbing discrete diffusion,1,1,0.5,0.5,0,0,0.5,0.5
In-Token Rationality Optimization: Towards Accurate and Concise LLM Reasoning via Self-Feedback,1,1,0.5,1,0,1,0,0.5
Saber: An Efficient Sampling with Adaptive Acceleration and Backtracking Enhanced Remasking for Diffusion Language Model,1,1,0.5,1,0,1,0.5,0.5
SymmetricDiffusers: Learning Discrete Diffusion on Finite Symmetric Groups,1,1,0.5,1,0,0,1,0.5
Learnable Sampler Distillation for Discrete Diffusion Models,1,1,0.5,1,0,1,0.5,0.5
Discrete Diffusion Models for Language Generation,1,1,0.5,0.5,0,0,0.5,0.5
Guided Discrete Diffusion for Electronic Health Record Generation,1,1,0.5,1,0,0,0.5,0.5
Discrete Diffusion Schrödinger Bridge Matching for Graph Transformation,1,1,0.5,1,0,0,0.5,0.5
CFP-Gen: Combinatorial Functional Protein Generation via Diffusion Language Models,1,1,0.5,1,0,0,0,0.5
