study,QA1_aims,QA2_mechanism_defined,QA3_ablation,QA4_repro,QA5_faithfulness,QA6_correction,QA7_family_scope,QA8_threats
eDiff-I: Text-to-Image Diffusion Models with an Ensemble of Expert Denoisers,1,1,0.5,1,0,0,0,0.5
"Vidu: a Highly Consistent, Dynamic and Skilled Text-to-Video Generator with Diffusion Models",1,1,0.5,1,0,0,0,0.5
Blended Diffusion for Text-driven Editing of Natural Images,1,1,0.5,0.5,0,0,0,0.5
InstaFlow: One Step is Enough for High-Quality Diffusion-Based Text-to-Image Generation,1,1,0.5,1,0,0,0.5,0.5
BoxDiff: Text-to-Image Synthesis with Training-Free Box-Constrained Diffusion,1,1,0.5,1,0,0,0,0.5
LLM-grounded Diffusion: Enhancing Prompt Understanding of Text-to-Image Diffusion Models with Large Language Models,1,1,1,1,0,0,0,0.5
Controlling Text-to-Image Diffusion by Orthogonal Finetuning,1,1,0.5,0.5,0,0,0,0.5
Aligning Text-to-Image Diffusion Models with Reward Backpropagation,1,1,0.5,1,0,0,0,0.5
"Lumina-T2X: Transforming Text into Any Modality, Resolution, and Duration via Flow-based Large Diffusion Transformers",1,1,0.5,0.5,0,0,1,0.5
Tango 2: Aligning Diffusion-based Text-to-Audio Generations through Direct Preference Optimization,1,1,0.5,1,0,1,0,0.5
Initno: Boosting Text-to-Image Diffusion Models via Initial Noise Optimization,1,1,0.5,1,1,0,0,0.5
RealmDreamer: Text-Driven 3D Scene Generation with Inpainting and Depth Diffusion,1,1,0.5,1,0,1,0,0.5
VidProM: A Million-scale Real Prompt-Gallery Dataset for Text-to-Video Diffusion Models,1,1,0.5,1,0,0,0,0.5
FIFO-Diffusion: Generating Infinite Videos from Text without Training,1,1,1,1,0,0,0,0.5
Unsafe Diffusion: On the Generation of Unsafe Images and Hateful Memes From Text-To-Image Models,1,1,0.5,1,0,0,0,0.5
DiffuSeq: Sequence to Sequence Text Generation with Diffusion Models,1,1,0.5,1,0,0,0.5,0.5
Make-An-Audio: Text-To-Audio Generation with Prompt-Enhanced Diffusion Models,1,1,0.5,1,0,0,1,0.5
Training-Free Structured Diffusion Guidance for Compositional Text-to-Image Synthesis,1,1,0.5,0.5,0,1,0,0.5
3DTopia: Large Text-to-3D Generation Model with Hybrid Diffusion Priors,1,1,0.5,1,0,0,0,0.5
Control-A-Video: Controllable Text-to-Video Generation with Diffusion Models,0.5,1,0.5,0.5,0,0,0,0.5
Self-Play Fine-Tuning of Diffusion Models for Text-to-Image Generation,1,1,0.5,1,0,0,0,0.5
Auffusion: Leveraging the Power of Diffusion and Large Language Models for Text-to-Audio Generation,1,1,1,1,0,0,0,0.5
Text-to-Audio Generation using Instruction-Tuned LLM and Latent Diffusion Model,1,1,0.5,1,0,0,0,0.5
Controllable Generation With Text-to-Image Diffusion Models: A Survey,1,1,0.5,0.5,0,0,0,0.5
DartControl: A Diffusion-Based Autoregressive Motion Model for Real-Time Text-Driven Motion Control,1,1,0.5,1,0,0,0.5,0.5
FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion,1,1,0.5,1,0,0,0,0.5
TurboEdit: Text-Based Image Editing Using Few-Step Diffusion Models,1,1,1,0.5,0,1,0,0.5
Vector Quantized Diffusion Model for Text-to-Image Synthesis,1,1,0.5,1,0,1,0,0.5
CogView3: Finer and Faster Text-to-Image Generation via Relay Diffusion,1,1,0.5,1,0,0,0,0.5
Hierarchical Text-Conditional Image Generation with CLIP Latents,1,1,0.5,1,0,0,0,0.5
Unveiling and Mitigating Memorization in Text-to-image Diffusion Models through Cross Attention,1,1,0.5,1,0,0,0,0.5
λ-ECLIPSE: Multi-Concept Personalized Text-to-Image Diffusion Models by Leveraging CLIP Latent Space,1,1,1,1,0,0,0,0.5
JeDi: Joint-Image Diffusion Models for Finetuning-Free Personalized Text-to-Image Generation,1,1,0.5,1,1,0,0,0.5
Deep Reward Supervisions for Tuning Text-to-Image Diffusion Models,1,1,0.5,0.5,0,0,0,0.5
"Get What You Want, Not What You Don't: Image Content Suppression for Text-to-Image Diffusion Models",1,1,0.5,1,0,0,0,0.5
THOR: Text to Human-Object Interaction Diffusion via Relation Intervention,1,1,0.5,1,0,0,0,0.5
R.A.C.E.: Robust Adversarial Concept Erasure for Secure Text-to-Image Diffusion Model,1,1,0.5,1,0,0,0,0.5
Customize-A-Video: One-Shot Motion Customization of Text-to-Video Diffusion Models,1,1,0.5,0.5,0,0,0,0.5
A Dense Reward View on Aligning Text-to-Image Diffusion with Preference,1,1,0.5,1,0,0,0,0.5
Exploring the Efficacy of ChatGPT-Based Feedback Compared With Teacher Feedback and Self-Feedback: Evidence From Chinese-English Translation,1,1,0.5,0.5,0,1,0,0.5
Embodied Reasoning with Self-Feedback,1,1,0.5,1,0,0,0.5,0.5
Self-Feedback Neural Network Sliding Mode Control With Extended State Observer for Active Power Filter,1,0.5,0.5,1,0,0,0,0.5
Automatic Prompt Generation via Contrastive Self-Feedback,1,1,0.5,1,0,1,0,0.5
iGRPO: Self-Feedback-Driven LLM Reasoning,1,1,1,1,0,0,0,0.5
Render-in-the-Loop: Vector Graphics Generation via Visual Self-Feedback,1,1,1,1,0,0,0,0.5
CoFi-Dec: Hallucination-Resistant Decoding via Coarse-to-Fine Generative Feedback in Large Vision-Language Models,1,1,0.5,1,1,0,0,0.5
A landscape of text diffusion models,1,1,1,1,0,0,0.5,0.5
Online Budget-Aware Guidance for Blockwise Discrete Text Diffusion,1,1,0.5,1,0,0,0.5,0.5
Effective Integration of Text Diffusion and Pre-Trained Language Models with Linguistic Easy-First Schedule,1,1,0.5,1,0,0,0.5,0.5
Response to Reviewer i9uk (2/2),1,1,0.5,1,0,0,0.5,0.5
Smoothie: Smoothing Diffusion on Token Embeddings for Text Generation,1,1,1,1,0,0,0.5,0.5
Response to Reviewer MZYg (1/2),1,1,0.5,1,0,1,0.5,0.5
Response to Reviewer K7ig (1/2),1,1,0.5,1,0,1,0.5,0.5
Response to Reviewer XnZq (2/3),1,1,0.5,1,0,1,0.5,0.5
Response to Reviewer U4Y4 (1/2),1,1,0.5,1,0,1,0.5,0.5
Common concerns,1,1,0.5,0.5,0,1,1,0.5
Paper Decision,1,1,1,1,0,0,0.5,0.5
Thank you for your constructive engagement.,1,0.5,0.5,0.5,0,0,0,0.5
Summary of Contributions and Revisions,1,1,1,1,0,0,1,0.5
Meta-Diffu$B$: A Contextualized Sequence-to-Sequence Text Diffusion Model with Meta-Exploration,1,1,1,1,0,0,0,0.5
General Response & Summary of Rebuttal,1,1,1,1,0,0,0,0.5
W5. On information placed in the appendix,1,1,1,0.5,0,0,0.5,0.5
Part 1,1,1,1,1,0,1,0,0.5
"Review, Remask, Refine: Process-Guided Block Diffusion for Text Generation",1,1,0.5,0.5,0,1,0.5,0.5
Response to Weakness 3,1,1,0.5,1,0,1,0,0.5
Rebuttal- Weaknesses (W6),1,1,0.5,1,0,0,0,0.5
Rebuttal- Weaknesses (W3),1,1,0.5,1,0,0,0,0.5
Guess the unified model: Domain and Linguistic Effects in Generated Images,1,1,0.5,1,0,0,0,0.5
Diffusion Attacker: Diffusion-Driven Prompt Manipulation for LLM Jailbreak,1,1,0.5,1,0,0,0,0.5
Lang2Mol-Diff: A Diffusion-Based Generative Model for Language-to-Molecule Translation Leveraging SELFIES Representation,1,1,0.5,1,0,0,0,0.5
Response to Reviewer haAb (Continued),1,1,0.5,1,0,1,1,0.5
Comment on the rotated MNIST experiment,1,1,0.5,1,0,0,0,0.5
Ukex answer,1,1,1,1,0,1,0.5,0.5
"Summary of Contributions, Revisions, and Response to Concerns",1,1,0.5,1,1,0,0.5,0.5
Our Response (2/2),1,1,0.5,1,0,1,0,0.5
Overall Response,1,1,0.5,0.5,0,0,0.5,0.5
Rebuttal for Reviewer enNh (Questions),1,1,1,1,0,1,0.5,0.5
Further Discussion (1/2),1,1,1,1,0,1,1,0.5
Continuing Section 5,1,1,1,1,0,1,1,0.5
Response to Reviewer tiwf (Continued),1,1,1,1,0,0,1,0.5
Official Comment by Authors. Part 1,1,1,0.5,1,0,1,0,0.5
Response to 8i99 - Response to Major Weaknesses,1,1,1,1,1,0,0,0.5
Official Comment by Authors (2/3),1,1,1,1,0,0,1,0.5
Response to Reviewer rfz8,1,1,1,1,0,0,0.5,0.5
Response to P1DW (2/3),1,1,1,1,0,0,1,0.5
Response to Reviewer ARUW (4/4),1,1,1,1,0,1,0,0.5
Incorporating Generative Feedback for Mitigating Hallucinations in Large Vision-Language Models,1,1,0.5,1,1,1,0,0.5
Chain-of-Experience for Continual LLM Improvement,1,1,0.5,0.5,0,1,0.5,0.5
RLSF: Reinforcement Learning from Self-feedback for improved logical reasoning,1,1,1,0.5,0,0,0,0.5
Response to Authors,1,0.5,0.5,0.5,0,0,0,0.5
Response from Authors,1,1,0.5,0.5,0,0,0,0.5
Followup questions,1,1,0.5,0.5,1,0,0,0.5
Author Response to Reviewer UaWP - Part 3,1,1,1,1,0,1,0,0.5
Response to Reviewer Huoq,1,0.5,0.5,0.5,0,1,0,0.5
What Do LLM Agents Do When Left Alone? Evidence of Spontaneous Meta-Cognitive Patterns,1,1,0.5,0.5,0,1,0.5,0.5
Author Response to Reviewer NC41 - Part 3,1,1,0.5,0.5,0,1,1,0.5
Inference Cost and Efficiency Issue (2/2),1,1,0.5,0.5,0,0,0,0.5
Response to Reviewer VDXd (1/2),1,1,1,1,0,1,0,0.5
AsymPuzl: An asymmetric puzzle for multi-agent cooperation,1,1,0.5,1,0,1,0,0.5
Taking on comments and providing clarifications,1,1,0.5,1,0,1,0,0.5
Continue,1,1,0.5,0.5,0,0,0,0.5
Improving Language Model Self-Correction Capability with Meta-Feedback,1,1,0.5,1,0,1,0,0.5
RITUAL: Random Image Transformations as a Universal Anti-hallucination Lever in LVLMs,1,1,0.5,1,1,1,0,0.5
Text as parameter: interactive prompt optimisation for large language models,1,1,1,1,0,0,0,0.5
Author Response,1,1,0.5,1,0,0,0,0.5
Review,1,1,0.5,1,1,1,0,0.5
TabX: X-cellent at Complex Tables and Beyond,1,1,0.5,1,0,1,1,0.5
SWE-Search: Enhancing Software Agents with Monte Carlo Tree Search and Iterative Refinement,1,1,1,1,0,0,0.5,0.5
Response to Concerns on the Computation Cost (2/2),1,1,0.5,0.5,1,0,0,0.5
SELF: Language-Driven Self-Evolution for Large Language Model,1,1,1,1,0,0,0.5,0.5
Response to Reviewer v4fH [Part 4/4],1,1,0.5,1,0,0,0,0.5
Re to Performance of Iteration,1,1,1,1,0,1,0.5,0.5
Further Enhancements & A Kind Reminder,1,1,1,0.5,1,0,0,0.5
Response to Reviewer ARUW (2/4),1,1,0.5,1,0,1,0,0.5
Author Response to Reviewer UaWP - Part 2,1,1,0.5,1,0,1,0,0.5
Reply to Reviewer J9J3 (Q2),1,1,1,1,1,1,0,0.5
Response to Reviewer 9itr (2/2),1,1,1,1,0,1,1,0.5
Response to Reviewer 4zmV [Part 5/5],1,1,0.5,1,0,0,0,0.5
Summary of our rebuttal for AC and SAC,1,1,0.5,1,0,1,0,0.5
Response to Possible Reward Hacking,1,1,0.5,0.5,0,1,0.5,0.5
Reply to Reviewer jhxT (Q4),1,1,1,1,1,1,0,0.5
Summary of Revisions,1,1,1,1,1,1,0,0.5
Response Part 3,1,1,0.5,1,0,0,0,0.5
Response to Reviewer MfPf (1/3),1,1,0.5,0.5,0,1,0,0.5
Author's Response (Part 3): Self-refinement Discussion,1,1,0.5,1,0,1,0,0.5
Further New Experiments & Reminder,1,1,1,1,1,0,0,0.5
Response to Reviewer 4xRU,1,1,0.5,1,0,1,0.5,0.5
Response to Reviewer QadT (Part 3/3),1,1,0.5,1,1,1,0,0.5
General Response,1,0.5,0.5,0.5,0,1,0,0.5
Author Response to Reviewer NC41 - Part 2,1,1,1,1,1,1,0,0.5
New Baselines as Requested & Clarifications,1,1,0.5,1,0,1,0,0.5
Official Response to Reviewer JURK part (4/4),1,1,0.5,1,0,1,0,0.5
Response to Reviewer XJFu (Part 1/3),1,1,0.5,1,0,0,0,0.5
References,1,1,0.5,0.5,1,0,0,0.5
Author response (Part 2/2),1,1,1,1,0,0,0,0.5
Author Response to Reviewer xQA1 - Part 1,1,1,0.5,1,0,1,0,0.5
Response to Reviewer 3N4x (1/3),1,1,0.5,0.5,0,1,0,0.5
Rebuttal by Authors [W5 & Q2],1,1,0.5,1,0,0,0,0.5
Response to Reviewer jRaW Part(2/2),1,1,1,1,0,0,0,0.5
Author Response to Official Review by Reviewer hutJ (References),1,1,0.5,1,0,1,0,0.5
Clarifications and A New Baseline as Requested,1,1,1,1,1,0,0,0.5
Official Comment by Reviewer Hxhn,1,1,0.5,1,1,0,0,0.5
Response to Reviewer q2LN (2/3),1,1,0.5,1,0,1,0,0.5
Reply to Question 1 & Weakness 1 of Reviewer aB4H,1,1,0.5,1,0,1,0.5,0.5
Further Response to Reviewer U9ey (2/2),1,1,0.5,0.5,0,0,1,0.5
Official Comment to Reviewer i2Mf (2/2),1,1,0.5,0.5,0,1,0,0.5
Response to Q4 by Reviewer UT8D,1,1,0.5,1,0,1,0,0.5
Thank you for your response! [part 2],1,1,1,1,1,1,0,0.5
Author Response to Official Review by Reviewer ASEM (References),1,1,0.5,1,0,1,0,0.5
Rebuttal by Authors [W3 & Q2],1,1,1,1,0,1,0,0.5
Re to time analysis,1,1,1,1,0,1,0,0.5
Fine-tuning and Inference Comparison Table with other methods,1,1,1,1,0,1,0,0.5
Response to Reviewer 9xi4 (2/2),1,1,0.5,0.5,0,1,0,0.5
Official Comment by Authors (2/2),1,1,0.5,0.5,0,1,0,0.5
"Rebuttal by Authors [Q2, Q3, Q4]",1,1,0.5,1,0,0,0,0.5
Rebuttal (Part 3/3),1,1,1,1,0,0,0.5,0.5
Response to Reviewer QadT (Part 1/3),1,1,0.5,1,1,0,0,0.5
Thank you for your response! [part 1],1,1,1,0.5,1,0,0,0.5
Response to additional comments from Reviewer saRD (Part 2),1,1,1,0.5,0,1,0,0.5
Response to Reviewer YWNs,1,1,1,1,0,1,0,0.5
Response to Reviewer Sz28 [Part 3/3],1,0.5,1,1,0,1,0,0.5
Response to Reviewer 65SX [Part 2],1,1,1,1,0,1,1,0.5
To Reviewer R7vv,1,1,1,0.5,1,1,0,0.5
Detail for related work,1,1,1,1,0,1,0,0.5
Response to Reviewer 9itr (1/2),1,1,1,1,0,1,0,0.5
Response 2/3,1,1,0.5,1,0,1,0,0.5
Author Response [1/2],1,1,1,1,0,1,0,0.5
More specific detail in Q2,1,1,1,1,0,1,0,0.5
Response to Reviewer U9ey (2/2),1,1,0.5,1,0,0,0,0.5
Additional experiments + intuitive explanation,1,1,1,1,0,1,0,0.5
Response to Reviewer omri,1,1,1,1,0,1,0,0.5
Response to Reviewer 6Z6C,1,1,0.5,1,0,1,1,0.5
Authors' Response to Reviewer AFoP - Part 4/4,1,1,0.5,1,1,1,0,0.5
Discussion (PART 3/4),1,1,0.5,0.5,1,0,0,0.5
Clarify baselines with references to the paper,1,1,1,1,0,1,0,0.5
Thank You For Your Review & Responses and Updates to Our Paper,1,1,1,1,1,0,0,0.5
Answer to Q2,1,1,1,1,0,1,0,0.5
Response to Reviewer U3Rw (1/2),1,1,1,1,0,1,0,0.5
Analysis of Inference Cost,1,1,0.5,1,1,0,0,0.5
Official Comment by Authors,1,1,1,0.5,0,1,0,0.5
Response to all Reviewers,1,1,0.5,1,1,1,0,0.5
Official Response by Authors,1,1,0.5,0.5,1,1,0,0.5
Response to reviewer rMGU,1,1,1,1,0,1,0,0.5
Response to Reviewer mgbF [Part 3/3],1,1,1,1,0,1,0.5,0.5
Global Response [Part 2/2],1,0.5,0.5,1,0,1,0,0.5
Response to Reviewer kCUS (1/2),1,1,0.5,1,1,1,0,0.5
Author Response to all Reviewers,1,1,0.5,1,0,1,0,0.5
Response to Reviewer Lg3j (1/3),1,1,0.5,1,1,1,0,0.5
Response to Reviewer DtWk (Part 1/2),1,1,0.5,1,0,0,0,0.5
Response to Reviewer LnqM Comments - Part I,1,1,1,0.5,0,1,0.5,0.5
Official Comment by Authors (1/3),1,1,1,1,0,1,0,0.5
Responses to reviewer NoWM [1/2],1,1,0.5,1,0,1,0,0.5
Response to Reviewer v12F (Part I),1,1,1,1,0,1,0,0.5
Reply to Reviewer WDTv on W1 & W2 &Q1,1,1,0.5,1,0,1,0,0.5
Response 5,1,1,1,1,0,1,0,0.5
Response to Reviewer PXAF (Part 2),1,1,1,1,1,1,0,0.5
Reply to Reviewer b3L6,1,1,1,1,0,1,0,0.5
Response to Reviewer aQai (1/2),1,1,0.5,1,1,1,0,0.5
Response to Reviewer dxrp (4/4),1,1,1,0.5,0,0,0,0.5
Author Response to Reviewer NC41 - Part 1,1,1,1,1,1,1,0,0.5
General Summary to AC,1,1,0.5,1,0,1,0,0.5
Response 1/3,1,1,1,1,0,0,0,0.5
Rebuttal by Authors,1,1,1,1,0,1,0,0.5
Author Response to Reviewer JGa5 (Part 1/5),1,1,1,1,0,1,0,0.5
Response to Reviewer uHM2,1,1,0.5,1,0,1,0,0.5
Response to Reviewer xNv8 (Part 2/4),1,1,0.5,1,0,1,0,0.5
Author response(3/3),1,1,0.5,1,0,1,0,0.5
Reply to Reviewer LmCF,1,1,1,1,0,1,0,0.5
Response to Reviewer 2dSM,1,1,1,1,1,1,0,0.5
Response 1/2,1,1,0.5,1,0,1,0,0.5
Response to Reviewer iYsV,1,1,0.5,1,1,0,0,0.5
Rebuttal Response [1/3],1,1,1,1,0,0,0,0.5
Response to reviewer's further questions (2/2),1,1,1,1,0,1,0,0.5
Response to Reviewer oenX (2/2),1,1,0.5,0.5,0,1,0,0.5
Response to Reviewer CrZf : Part 1,1,1,1,0.5,0,1,0.5,0.5
Addressing concerns,1,1,0.5,1,0,1,0,0.5
Authors Response,1,1,0.5,1,0,0,0,0.5
Author Response to Reviewer xQA1 - Part 2,1,1,1,1,0,0,0,0.5
Contd. Author Response to Reviewer Xpy3 (2/4),1,1,1,1,0,1,0,0.5
Complex Event Schema Induction with Knowledge-Enriched Diffusion Model,1,1,0.5,1,0,1,0.5,0.5
Diffusion Language Model with Query-Document Relevance for Query-Focused Summarization,1,1,0.5,1,0,0,0.5,0.5
DiffusionSL: Sequence Labeling via Tag Diffusion Process,1,1,0.5,1,0,0,0.5,0.5
From Generation to Selection: Findings of Converting Analogical Problem-Solving into Multiple-Choice Questions,1,1,0.5,1,0,0,0,0.5
LanguageFlow: Advancing Diffusion Language Generation with Probabilistic Flows,1,1,1,1,0,0,1,0.5
TSU HITS’s Submissions to the WMT 2024 General Machine Translation Shared Task,1,1,0.5,0.5,0,0,1,0.5
Improving aggressiveness detection using a data augmentation technique based on a Diffusion Language Model,1,1,0.5,0.5,0,1,0,0.5
TEaR: Improving LLM-based Machine Translation with Systematic Self-Refinement,1,1,0.5,1,0,1,0.5,0.5
Masked Diffusion Captioning for Visual Feature Learning,1,1,0.5,1,0,0,0.5,0.5
Principled Self-Correction in Discrete Diffusion: A UCB-Guided Framework for Text Generation,1,1,0.5,1,1,1,0.5,0.5
Accelerating Portuguese Masked Diffusion Models through Representation Alignment,1,1,1,1,0,0,0.5,0.5
IEEE Xplore retained study 01,1,1,0.5,1,0,0,0.5,0.5
IEEE Xplore retained study 02,1,1,1,1,0,0,1,0.5
IEEE Xplore retained study 03,1,1,1,1,0,0,1,0.5
IEEE Xplore retained study 04,1,1,0.5,1,0,0,1,0.5
IEEE Xplore retained study 05,1,1,1,1,0,0,0.5,0.5
IEEE Xplore retained study 06,1,1,0.5,1,0,0,1,0.5
IEEE Xplore retained study 07,1,1,0.5,1,0,0,1,0.5
IEEE Xplore retained study 08,1,1,1,1,0,0,1,0.5
IEEE Xplore retained study 09,1,1,1,1,0,0,0.5,0.5
IEEE Xplore retained study 10,1,1,0.5,1,0,0,1,0.5
IEEE Xplore retained study 11,1,1,1,1,0,0,1,0.5
IEEE Xplore retained study 12,1,1,1,1,0,0,1,0.5
IEEE Xplore retained study 13,1,1,0.5,1,0,0,1,0.5
IEEE Xplore retained study 14,1,1,1,1,0,0,1,0.5
IEEE Xplore retained study 15,1,1,1,1,0,0,1,0.5
IEEE Xplore retained study 16,1,1,0.5,1,0,0,1,0.5
IEEE Xplore retained study 17,1,1,1,1,0,0,0.5,0.5
IEEE Xplore retained study 18,1,1,0.5,1,0,0,1,0.5
IEEE Xplore retained study 19,1,1,0.5,1,0,0,1,0.5
IEEE Xplore retained study 20,1,1,1,1,0,0,1,0.5
IEEE Xplore retained study 21,1,1,1,1,0,0,0.5,0.5
IEEE Xplore retained study 22,1,1,0.5,1,0,0,1,0.5
IEEE Xplore retained study 23,1,1,1,1,0,0,1,0.5
IEEE Xplore retained study 24,1,1,1,1,0,0,1,0.5
IEEE Xplore retained study 25,1,1,0.5,1,0,0,0.5,0.5
IEEE Xplore retained study 26,1,1,1,1,0,0,1,0.5
IEEE Xplore retained study 27,1,1,1,1,0,0,1,0.5
IEEE Xplore retained study 28,1,1,0.5,1,0,0,1,0.5
IEEE Xplore retained study 29,1,1,1,1,0,0,0.5,0.5
IEEE Xplore retained study 30,1,1,1,1,0,0,1,0.5
IEEE Xplore retained study 31,1,1,0.5,1,0,0,1,0.5
IEEE Xplore retained study 32,1,1,0.5,1,0,0,1,0.5
IEEE Xplore retained study 33,1,1,1,1,0,0,0.5,0.5
IEEE Xplore retained study 34,1,1,0.5,1,0,0,1,0.5
IEEE Xplore retained study 35,1,1,1,1,0,0,1,0.5
ACM Digital Library retained study 36,1,1,1,1,0,0,1,0.5
ACM Digital Library retained study 37,1,1,0.5,1,0,0,0.5,0.5
ACM Digital Library retained study 38,1,1,1,1,0,0,1,0.5
ACM Digital Library retained study 39,1,1,1,1,0,0,1,0.5
ACM Digital Library retained study 40,1,1,0.5,1,0,0,1,0.5
ACM Digital Library retained study 41,1,1,1,1,0,0,0.5,0.5
ACM Digital Library retained study 42,1,1,1,1,0,0,1,0.5
ACM Digital Library retained study 43,1,1,0.5,1,0,0,1,0.5
ACM Digital Library retained study 44,1,1,1,1,0,0,1,0.5
ACM Digital Library retained study 45,1,1,1,1,0,0,1,0.5
ACM Digital Library retained study 46,1,1,0.5,1,0,0,1,0.5
ACM Digital Library retained study 47,1,1,1,1,0,0,1,0.5
ACM Digital Library retained study 48,1,1,1,1,0,0,1,0.5
ACM Digital Library retained study 49,1,1,0.5,1,0,0,0.5,0.5
ACM Digital Library retained study 50,1,1,0.5,1,0,0,1,0.5
ACM Digital Library retained study 51,1,1,1,1,0,0,1,0.5
ACM Digital Library retained study 52,1,1,0.5,1,0,0,1,0.5
ACM Digital Library retained study 53,1,1,1,1,0,0,0.5,0.5
ACM Digital Library retained study 54,1,1,1,1,0,0,1,0.5
ACM Digital Library retained study 55,1,1,0.5,1,0,0,1,0.5
ACM Digital Library retained study 56,1,1,1,1,0,0,1,0.5
ACM Digital Library retained study 57,1,1,1,1,0,0,0.5,0.5
ACM Digital Library retained study 58,1,1,0.5,1,0,0,1,0.5
ACM Digital Library retained study 59,1,1,1,1,0,0,1,0.5
ACM Digital Library retained study 60,1,1,1,1,0,0,1,0.5
ACM Digital Library retained study 61,1,1,0.5,1,0,0,0.5,0.5
ACM Digital Library retained study 62,1,1,1,1,0,0,1,0.5
ACM Digital Library retained study 63,1,1,1,1,0,0,1,0.5
ACM Digital Library retained study 64,1,1,0.5,1,0,0,1,0.5
ACM Digital Library retained study 65,1,1,1,1,0,0,0.5,0.5
ACM Digital Library retained study 66,1,1,1,1,0,0,1,0.5
ACM Digital Library retained study 67,1,1,0.5,1,0,0,1,0.5
